,name,address,no_available,dock_bikes,lat_destino,long_destino,Posicion_destino
0,Puerta del Sol A,Puerta del Sol nº 1,0,15,40.4172137,-3.7018341,POINT (4499223.648366921 -412373.2851572837)
1,Puerta del Sol B,Puerta del Sol nº 1,0,22,40.41731271011562,-3.701602938060457,POINT (4499234.670122574 -412347.498528782)
2,Miguel Moya,Calle Miguel Moya nº 1,0,12,40.4205886,-3.7058415,POINT (4499599.340516399 -412820.3206106317)
3,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,0,4,40.4302937,-3.7069171,POINT (4500679.707306497 -412940.3068148255)
4,Malasaña,Calle Manuela Malasaña nº 5,0,12,40.4285524,-3.7025875,POINT (4500485.866677178 -412457.3286497012)
5,Fuencarral,Calle Fuencarral nº 108,0,15,40.42852,-3.70205,POINT (4500482.259925677 -412397.3692885628)
6,Colegio Arquitectos,Calle Hortaleza nº 63,0,20,40.424148,-3.698447,POINT (4499995.571111929 -411995.4472918063)
7,Hortaleza,Calle Hortaleza nº 75,0,10,40.4251906,-3.6977715,POINT (4500111.632813029 -411920.094071327)
8,Alonso Martínez,Plaza de Alonso Martínez nº 5,0,8,40.4278682,-3.6954403,POINT (4500409.701881577 -411660.0450265493)
9,Plaza de San Miguel,Plaza de San Miguel nº 9,0,15,40.4156057,-3.7095084,POINT (4499044.646625726 -413229.3742149966)
10,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,0,0,40.42533,-3.69214,POINT (4500127.150750047 -411291.8925134216)
11,San Andrés,Calle San Andrés nº 18,0,13,40.4269483,-3.7035918,POINT (4500307.299081996 -412569.3607219302)
12,San Hermenegildo,Calle San Bernardo nº 85,0,11,40.4284246,-3.7061931,POINT (4500471.640046255 -412859.5425631503)
13,Conde Duque,Calle Conde Duque nº 22,0,6,40.4273264,-3.7104417,POINT (4500349.388981465 -413333.4868775574)
14,Ventura Rodríguez,Calle Duque de Liria,0,10,40.4260957,-3.713479,POINT (4500212.388084146 -413672.3083719324)
15,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,0,7,40.4262383,-3.7074453,POINT (4500228.262243534 -412999.2290633588)
16,San Bernardo,Calle San Bernardo nº 22,0,14,40.4230721,-3.7075065,POINT (4499875.802471784 -413006.0561038959)
17,Carlos Cambronero,Plaza de Carlos Cambronero nº 2,0,5,40.4232649,-3.7038312,POINT (4499897.264869608 -412596.0663845149)
18,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,0,15,40.4207773,-3.6996502,POINT (4499620.346504311 -412129.6665234389)
19,Prim,Calle Prim nº 2,1,0,40.4218616,-3.6954983,POINT (4499741.050228179 -411666.5150099347)
20,Banco de España A,Calle Alcalá nº 49,1,0,40.4192342,-3.6954615,POINT (4499448.569398068 -411662.4099169793)
21,Jacometrezo,Calle Jacometrezo nº 3,0,21,40.4200783,-3.7065376,POINT (4499542.534180247 -412897.9725061509)
22,Santo Domingo,Plaza de Santo Domingo nº 1,0,17,40.4202834,-3.7081246,POINT (4499565.365807809 -413075.0070087535)
23,Palacio de Oriente,Calle Carlos III nº 1,0,9,40.417908,-3.710692,POINT (4499300.937489377 -413361.4086785789)
24,Plaza de Celenque A,Plaza de Celenque nº 1,0,1,40.4173703,-3.7057791,POINT (4499241.080999179 -412813.3597196625)
25,Plaza de Celenque B,Plaza de Celenque nº 1,0,6,40.4172781,-3.7063837,POINT (4499230.817342127 -412880.8045268614)
26,Plaza de las Salesas,Plaza de las Salesas 7,0,1,40.423855,-3.694475,POINT (4499962.954501126 -411552.3644858565)
27,Huertas,Calle Jesús nº 1,0,10,40.4132798,-3.6956178,POINT (4498785.728622088 -411679.8454080712)
28,Sevilla,Calle Alcalá nº 27,0,17,40.4181518,-3.6984368,POINT (4499328.077181233 -411994.3094633282)
29,Marqués de Cubas,Calle del Marqués de Cubas nº 25,0,8,40.4162619,-3.6957355,POINT (4499117.694475584 -411692.9750153542)
30,San Quintín,Calle Pavía nº 6,0,6,40.4192095,-3.711504,POINT (4499445.819806646 -413451.9900451842)
31,Calle Mayor,Calle Mayor nº 20,0,15,40.4163638,-3.7068969,POINT (4499129.037931696 -412938.0534466859)
32,Plaza de la Provincia,Plaza de la Provincia nº 1,0,12,40.4150099,-3.7061032,POINT (4498978.322473111 -412849.5139680053)
33,Carretas,Calle Carretas nº 8,1,0,40.4165039,-3.7030833,POINT (4499144.633792356 -412512.6363122106)
34,Jacinto Benavente,Plaza de Jacinto Benavente,0,19,40.4146755,-3.7036825,POINT (4498941.097235389 -412579.4785305898)
35,Plaza del Cordón,Plaza del Cordón,0,18,40.4141931,-3.7103285,POINT (4498887.396713031 -413320.8590420586)
36,Plaza Ramales,Plaza de Ramales,0,8,40.4168,-3.71183,POINT (4499177.595493579 -413488.3564793408)
37,Plaza de San Francisco,Plaza de San Francisco nº 5,0,13,40.4108,-3.714113,POINT (4498509.678548819 -413743.0334481568)
38,Plaza de los Carros,Carrera de San Francisco nº 1,0,20,40.4114041,-3.7114762,POINT (4498576.926653208 -413448.8888590888)
39,Plaza de la Cebada,Plaza de la Cebada nº 16 ,0,25,40.4112744,-3.7088337,POINT (4498562.488515252 -413154.1092953339)
40,Conde de Romanones,Plaza del Conde de Romanones nº 9,0,23,40.4138846,-3.7049407,POINT (4498853.05465012 -412719.8339501653)
41,Antón Martín,Calle Atocha nº 54,0,13,40.4122047,-3.6991147,POINT (4498666.049037537 -412069.9304649164)
42,Santa Isabel,Calle Atocha nº 95,0,20,40.4107085,-3.6982318,POINT (4498499.492815413 -411971.4413447187)
43,Jesús y María,Calle Lavapiés nº 34,0,13,40.4101564,-3.7025024,POINT (4498438.033324544 -412447.8355465636)
44,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,0,8,40.4097617,-3.7040666,POINT (4498394.095521529 -412622.3258442401)
45,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,0,8,40.4070358,-3.7110513,POINT (4498090.649721576 -413401.4898074972)
46,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,0,12,40.4053153,-3.7071259,POINT (4497899.124537665 -412963.5990588086)
47,Embajadores 1,Glorieta de Embajadores nº 6,0,3,40.4047851,-3.7028265,POINT (4497840.102943647 -412483.9896610428)
48,Embajadores 2,Glorieta de Embajadores nº 2,0,3,40.4056107,-3.7022591,POINT (4497932.008315246 -412420.694870124)
49,Casa Encendida,Ronda de Atocha nº 34,0,12,40.4060941,-3.6992759,POINT (4497985.820157095 -412087.9126322374)
50,Museo Reina Sofía,Calle Santa Isabel nº 57,0,16,40.4083684,-3.6933463,POINT (4498238.994075007 -411426.4565993216)
51,Ronda de Atocha,Ronda de Atocha nº 2,0,21,40.4075606,-3.6935205,POINT (4498149.070190343 -411445.8888151808)
52,Plaza de Santa Ana,Plaza de Santa Ana nº 10,0,22,40.4144226,-3.7007164,POINT (4498912.944536167 -412248.6032987208)
53,Plaza de Lavapiés,Calle Valencia nº 1,0,20,40.4083061,-3.7007111,POINT (4498232.05887073 -412248.0120726033)
54,Barceló,Calle Barceló nº 7,0,18,40.4266828,-3.700423,POINT (4500277.743757191 -412215.8739185985)
55,Plaza de San Ildefonso,Plaza de San Ildefonso,0,8,40.4239757,-3.7020842,POINT (4499976.390763665 -412401.1843761319)
56,Plaza del Carmen ,Plaza del Carmen nº 1,0,7,40.4184192,-3.7032414,POINT (4499357.844013072 -412530.2727476137)
57,Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24,0,5,40.4295658,-3.7126299,POINT (4500598.677849147 -413577.588164081)
58,Augusto Figueroa,Calle Augusto Figueroa nº 33,0,19,40.4222862,-3.697895,POINT (4499788.316483969 -411933.870710604)
59,Plaza de Juan Pujol,Calle Espíritu Santo nº 30,0,2,40.4255495,-3.7043418,POINT (4500151.585378275 -412653.0251025286)
60,Plaza de la Independencia,Plaza de la Independencia nº 6,0,19,40.419752,-3.688398,POINT (4499506.210630401 -410874.469478817)
61,Narváez,Calle O'Donnell nº 28,0,17,40.4213983,-3.6752045,POINT (4499689.475908094 -409402.7382164064)
62,O'Donnell,Calle O'Donnell nº 50,0,7,40.4213148,-3.6724968,POINT (4499680.180730613 -409100.6977278018)
63,Ibiza,Calle Ibiza nº 62,0,9,40.4179237,-3.6708959,POINT (4499302.685205384 -408922.1198014586)
64,Antonio Maura,Calle Antonio Maura nº 15,0,9,40.4166834,-3.6894193,POINT (4499164.615640952 -410988.3961203106)
65,Almadén,Calle Almadén nº 28,0,15,40.4108472,-3.693225,POINT (4498514.932828785 -411412.9254432287)
66,Espalter,Calle Espalter nº 1,0,7,40.4128372,-3.6912023,POINT (4498736.458615463 -411187.2911779323)
67,Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,0,16,40.409808,-3.688822,POINT (4498399.249613952 -410921.7669230159)
68,Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63,0,9,40.4153053,-3.6779232,POINT (4499011.206250691 -409706.0066634591)
69,Doce de Octubre,Calle Doce de Octubre nº 28,0,16,40.4159569,-3.6738865,POINT (4499083.742030892 -409255.7168794902)
70,Sainz de Baranda,Calle Doctor Esquerdo nº 99,0,11,40.4157413,-3.6691838,POINT (4499059.741548677 -408731.1380408349)
71,Plaza de los Astros,Avenida de Nazaret nº 7,0,11,40.4114475,-3.6689089,POINT (4498581.757919108 -408700.4734607235)
72,Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73,0,21,40.4117627,-3.6766813,POINT (4498616.845822606 -409567.4737630706)
73,Menéndez Pelayo,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,0,3,40.4082805,-3.6784838,POINT (4498229.209091766 -409768.5411851413)
74,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,0,8,40.4071304,-3.6751352,POINT (4498101.180545405 -409395.0078781829)
75,Conde de Casal,Plaza del Conde de Casal nº 8,0,5,40.40635,-3.670422,POINT (4498014.30681479 -408869.2570486475)
76,Pedro Bosch,Calle Cerro de la Plata nº 2,0,5,40.400789,-3.6744,POINT (4497395.259126488 -409312.9971696784)
77,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,0,19,40.4051451,-3.6803874,POINT (4497880.177960332 -409980.8866722419)
78,Atocha A,Paseo de la Infanta Isabel nº 3,0,10,40.4075685,-3.6902255,POINT (4498149.949614321 -411078.3283173366)
79,Atocha B,Paseo de la Infanta Isabel nº 3,0,21,40.4074902,-3.6901234,POINT (4498141.233298192 -411066.93898348)
80,Cuesta de Moyano,Cuesta de Claudio Moyano,0,21,40.409297,-3.691987,POINT (4498342.365354158 -411274.8252089514)
81,Niño Jesús,Calle Doctor Esquerdo nº 161,0,9,40.4084556,-3.6697526,POINT (4498248.701134604 -408794.5866454298)
82,Pío Baroja,Calle Pío Baroja nº 10,0,20,40.4132995,-3.6745323,POINT (4498787.921616057 -409327.7550764651)
83,Valderribas,Calle Doctor Esquerdo nº 191,0,10,40.4032501,-3.6726019,POINT (4497669.227525279 -409112.4214819339)
84,Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,0,10,40.421501,-3.680008,POINT (4499700.908419798 -409938.5647838628)
85,Cibeles,Plaza Cibeles,0,6,40.4186516,-3.6933498,POINT (4499383.714662732 -411426.8470284207)
86,Ayala,Calle Ayala nº 44,0,19,40.427736,-3.6832566,POINT (4500394.985444895 -410300.9451425157)
87,Embajada de Italia,Calle Velázquez nº 75,0,9,40.4313576,-3.6838303,POINT (4500798.140112751 -410364.9413433581)
88,Conde Peñalver,Calle Ayala nº 102,0,19,40.4272582,-3.6752024,POINT (4500341.796992193 -409402.503963725)
89,General Pardiñas,Calle Goya nº 18,0,11,40.4250361,-3.6837876,POINT (4500094.433951701 -410360.17815948)
90,Príncipe de Vergara,Calle Hermosilla nº 70,0,13,40.426134,-3.6787441,POINT (4500216.651620643 -409797.5774739215)
91,Claudio Coello,Calle Claudio Coello nº 45,0,5,40.4262945,-3.6865463,POINT (4500234.518398915 -410667.9115417489)
92,Plaza de Colón,Calle Goya nº 1,0,4,40.4257046,-3.6893698,POINT (4500168.851031297 -410982.874361928)
93,Biblioteca Nacional,Paseo de Recoletos nº 20,0,2,40.4232153,-3.690756,POINT (4499891.743422865 -411137.5060231346)
94,Villanueva,Calle Claudio Coello nº 109,0,10,40.4226584,-3.6870548,POINT (4499829.749598443 -410724.6348941579)
95,Castelló,Calle Alcalá nº 111,0,16,40.422064,-3.6821793,POINT (4499763.581293114 -410180.7725031088)
96,Alcalá,Avenida de Menéndez Pelayo nº 3,0,9,40.4222969,-3.6805189,POINT (4499789.50760252 -409995.5554384995)
97,Plaza de Felipe II,Plaza de Felipe II,0,8,40.4239447,-3.6758383,POINT (4499972.93985945 -409473.4379320957)
98,Alcántara,Calle Alcántara nº 2,0,18,40.4261851,-3.6738714,POINT (4500222.340046623 -409254.0324936567)
99,Palacio de Deportes,Calle Goya nº 99,0,9,40.42478,-3.67384,POINT (4500065.925030109 -409250.5298636022)
100,Jorge Juan,Calle Jorge Juan nº 131,0,8,40.4231526,-3.6691524,POINT (4499884.763690793 -408727.6354291694)
101,Velázquez,Calle Alcalá nº 95,0,22,40.4211802,-3.6840229,POINT (4499665.197127152 -410386.4258711423)
102,Ortega y Gasset,Calle José Ortega y Gasset nº 4,0,5,40.43037,-3.68653,POINT (4500688.200983644 -410666.0932715975)
103,Castellana,Paseo de la Castellana nº 4,0,8,40.42677,-3.68958,POINT (4500287.450816788 -411006.322315812)
104,Serrano,Calle Serrano nº 54,0,9,40.42699,-3.68745,POINT (4500311.941104763 -410768.7196144414)
105,Colón A,Calle Serrano nº 34,0,10,40.4251002,-3.6877227,POINT (4500101.569531062 -410799.1394214677)
106,Colón B,Calle Serrano nº 34,0,9,40.424963,-3.687745,POINT (4500086.296496924 -410801.6269968595)
107,Columela,Calle Serrano nº 8,0,2,40.4215246,-3.6884369,POINT (4499703.535559781 -410878.8087952816)
108,Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2,0,8,40.4273005,-3.6706024,POINT (4500346.505806655 -408889.3803637784)
109,Marqués de Salamanca,Calle José Ortega y Gasset nº 30,1,0,40.4300481,-3.6816402,POINT (4500652.367239557 -410120.636040573)
110,Moncloa,Paseo de Moret nº 2,0,13,40.4347895,-3.7200845,POINT (4501180.177473204 -414409.1791481215)
111,Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,0,20,40.4337322,-3.7175435,POINT (4501062.47937559 -414125.7194619759)
112,Arcipreste de Hita B,Calle Arcipreste de Hita nº 12,0,11,40.4341006,-3.7179687,POINT (4501103.489475997 -414173.1523285306)
113,Paseo de Moret,Paseo de Moret nº 11,0,13,40.4325991,-3.7246532,POINT (4500936.343260571 -414918.8397121918)
114,Pintor Rosales,Paseo del Pintor Rosales frente al nº 38,0,12,40.427657,-3.7205129,POINT (4500386.191205122 -414456.9691261234)
115,Quintana,Calle Quintana nº 11,0,10,40.4277456,-3.7174158,POINT (4500396.054112006 -414111.4739888796)
116,Ferraz,Calle Evaristo San Miguel nº 2,0,13,40.4253944,-3.7170448,POINT (4500134.319725253 -414070.087387282)
117,Plaza de España A,Calle Princesa nº 5,1,0,40.42402,-3.711603,POINT (4499981.322217106 -413463.0338381871)
118,Plaza de España B,Calle Princesa nº 5,1,0,40.42412,-3.711703,POINT (4499992.454166186 -413474.1891859107)
119,Altamirano,Calle Altamirano nº 24,0,13,40.4309797,-3.7188898,POINT (4500756.072477181 -414275.9050254758)
120,Juan Martín,Calle Juan Martín el Empecinado nº 16,0,6,40.400781,-3.6882407,POINT (4497394.368570562 -410856.9225789591)
121,Méndez Álvaro,Calle Méndez Álvaro nº 11,0,15,40.4013216,-3.6863218,POINT (4497454.547887285 -410642.8684987454)
122,Palos de la Frontera,Calle Palos de la Frontera nº 27,0,11,40.4032208,-3.6944768,POINT (4497665.965864199 -411552.5652782198)
123,Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58,0,16,40.4017926,-3.6987665,POINT (4497506.979367448 -412031.0881022502)
124,Santa Engracia 14,Calle Santa Engracia nº 14,0,9,40.4291992,-3.6967169,POINT (4500557.868123823 -411802.4516897136)
125,Guzmán el Bueno,Calle Guzmán el Bueno nº 1,0,9,40.4306458,-3.7133412,POINT (4500718.902899205 -413656.93627218)
126,Paseo de la Florida,Paseo de la Florida nº 8,0,11,40.4219665,-3.7224983,POINT (4499752.727642763 -414678.4498738055)
127,Metro Pirámides,Paseo de los Olmos nº 28,0,13,40.4034076,-3.7108108,POINT (4497686.76034508 -413374.6612181486)
128,Paseo de la Esperanza,Paseo de la Esperanza nº 2,0,6,40.4035988,-3.7064516,POINT (4497708.044631719 -412888.3789631003)
129,Entrada Matadero,Paseo de la Chopera nº 14,0,19,40.3928821,-3.6975708,POINT (4496515.067044735 -411897.7056421987)
130,Paseo de las Delicias,Paseo de las Delicias nº 92,0,14,40.3972616,-3.6945025,POINT (4497002.590754665 -411555.4321470031)
131,Castellana 164,Paseo de la Castellana nº 164,0,19,40.4591366,-3.6894151,POINT (4503890.484247498 -410987.9276074668)
132,Alberto Alcocer,Avenida de Alberto Alcocer nº 22,0,10,40.4585318,-3.684715,POINT (4503823.158219466 -410463.6296565536)
133,San Germán 57,Calle San Germán nº 57,0,13,40.4572824,-3.7009675,POINT (4503684.075647669 -412276.6140344901)
134,Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,0,13,40.4592351,-3.691533,POINT (4503901.449217341 -411224.1810679014)
